epoca;gen;ac;ap;nc;ng;areac;compg;largg;nr;mc;rgpla;icc;ngcap;mmg
E3;G108;64;79;13;75;0.327984082;0.418308792;0.219833938;0;0.49;0.34;0.693877551;5.769230769;4.533333333
E3;G109;73;82;15;66;0.283176101;0.415921309;0.222084242;2;0.44;0.26;0.590909091;4.4;3.939393939
E3;G110;71;84;53;322;0.349380566;0.407683408;0.238410006;2;1.75;1.01;0.577142857;6.075471698;3.136645963
E3;G111;66;79;19;108;0.337056856;0.439250717;0.236384185;2;0.58;0.36;0.620689655;5.684210526;3.333333333
E3;G112;58;76;10;30;0.284387389;0.398937026;0.218358488;0;0.19;0.09;0.473684211;3;3
E3;G113;65;81;16;108;0.319393266;0.416087881;0.222702896;0;0.53;0.35;0.660377358;6.75;3.240740741
E3;G114;63;72;8;32;0.364156137;0.422892693;0.233752543;0;0.24;0.09;0.375;4;2.8125
E3;G115;63;74;6;27;0.329669244;0.420973189;0.228753501;0;0.17;0.09;0.529411765;4.5;3.333333333
E3;G116;61;63;5;17;0.274940278;0.407171507;0.207396058;0;0.1;0.09;0.9;3.4;5.294117647
E3;G117;77;90;9;24;0.277266188;0.443723864;0.226150357;0;0.22;0.1;0.454545455;2.666666667;4.166666667
E3;G118;64;74;19;84;0.303422229;0.420762688;0.220169802;2;0.5;0.24;0.48;4.421052632;2.857142857
E3;G119;72;100.03;25;107;0.430688202;0.45070631;0.255954401;2;0.89;0.42;0.471910112;4.28;3.925233645
E3;G120;69;90.5;16;96;0.338237477;0.448150182;0.238035906;0;0.55;0.31;0.563636364;6;3.229166667
E3;G121;56;78;12;65;0.455702442;0.452864652;0.251982875;0;0.45;0.22;0.488888889;5.416666667;3.384615385
E3;G122;61;72;7;32;0.358732318;0.443215709;0.242408187;0;0.18;0.1;0.555555556;4.571428571;3.125
E3;G123;60;86;5;28;0.35965382;0.44397737;0.237388904;0;0.15;0.07;0.466666667;5.6;2.5
E3;G124;57;72;8;6;0.372864392;0.456259403;0.232045493;0;0.14;0.01;0.071428571;0.75;1.666666667
