img,id,length
img_77,1398,3.79399325
img_574,644,3.85559167
img_251,269,3.90484932
img_44,135,3.59414208
img_200,1999,3.65108766
img_192,932,3.91181732
img_272,740,3.8505004
img_564,350,3.56479337
img_111,1115,3.52269221
img_108,434,3.85282212
img_284,313,3.59230812
img_293,207,3.80240984
img_255,297,3.38109619
img_200,1805,3.78366842
img_40,127,4.07918442
img_304,765,3.66791952
img_193,166,3.94889734
img_108,333,3.92901249
img_411,527,4.0192618
img_29,416,3.85988976
img_38,34,4.52861359
img_491,496,4.25618418
img_204,732,4.28590674
img_328,393,3.98987329
img_262,85,3.72101893
img_154,904,3.61228791
img_155,758,3.66636795
img_155,372,3.76153448
img_330,651,3.6756296
img_524,620,3.92921549
img_14,547,3.3849159
img_228,248,3.62893091
img_135,110,3.92595734
img_271,240,3.83877824
img_34,104,3.99341526
img_491,308,4.23403386
img_217,65,3.74892989
img_28,813,3.75657764
img_270,97,4.05333491
img_523,223,4.04654239
img_236,369,3.39518622
img_200,1946,3.6567191
img_338,537,3.29081458
img_124,258,3.95597313
img_172,327,3.08242618
img_304,69,4.12454619
img_462,178,4.01300883
img_201,297,4.04292312
img_136,273,3.29710742
img_574,856,3.88774218
img_265,247,3.82036015
img_471,192,4.02112743
img_124,384,3.66861958
img_370,169,4.42235331
img_64,237,3.71159956
